x-coordinate,y-coordinate,z-coordinate
12.79825505,0.9568,-2.174109212
16.43669091,0.4451630368,-2.172836776
12.19328463,0.9568,-2.16959266
10.64238022,-1.436418776,-2.16718737
11.4882102,0.9568,-2.162153414
10.6857198,0.9568,-2.148691502
13.63059527,-1.467390322,-2.146337728
-1.483080221,-0.01829387574,-2.135448054
1.294943006,0.9568,-2.13522005
11.05169079,-1.488232104,-2.131939306
1.767347821,0.9568,-2.130242792
9.799622268,0.9568,-2.129173897
0.2169521203,0.9568,-2.125389578
2.295012157,0.9568,-2.122158733
9.132316511,-1.511903358,-2.115218247
2.932143972,0.9568,-2.110990277
8.915731357,0.9568,-2.108343499
12.05539285,-1.525120537,-2.105708277
8.361212292,-1.526384419,-2.104792295
14.32619193,-1.527692863,-2.103842798
3.695636051,0.9568,-2.097578091
13.18257581,-1.539817605,-2.094984903
8.050382274,0.9568,-2.092040049
16.60953288,-0.2533753161,-2.08718234
9.822723874,-1.553246801,-2.085047811
4.551289243,0.9568,-2.08458028
7.20015548,0.9568,-2.081034359
-0.1126211098,0.9568,-2.077890205
5.45658608,0.9568,-2.075460174
6.339183222,0.9568,-2.07395494
14.37618022,0.9568,-2.073850009
15.40266852,0.9568,-2.072490158
-0.5336929871,-1.483036968,-2.067794271
-1.08051605,-1.150972997,-2.065852421
13.31098138,0.9568,-2.058783585
12.799062,0.9568,-2.055000031
11.44109009,-1.597537421,-2.051310359
12.1942767,0.9568,-2.048789178
11.48925108,0.9568,-2.037953346
14.93970716,0.9568,-2.036106243
12.78936401,-1.622289328,-2.031791656
0.6471499796,-1.638472448,-2.018763987
10.68674122,0.9568,-2.018194317
10.38782806,-1.639288234,-2.018101604
15.59258104,-1.559651451,-2.016122026
16.10042464,-1.300564411,-2.006804866
-1.367979574,0.9568,-1.993280122
9.800590909,0.9568,-1.989598011
1.765556804,0.9568,-1.988774564
14.12937711,0.9568,-1.988148782
-0.4910639109,0.9568,-1.985064711
0.5582249432,0.9568,-1.980034675
2.293393642,0.9568,-1.979344207
7.59153189,-1.688761911,-1.976887252
11.78493754,-1.694349504,-1.972100341
0.9122422805,0.9568,-1.969281466
2.930789391,0.9568,-1.964734262
8.916634146,0.9568,-1.959240521
12.40258598,-1.720058601,-1.94971752
3.694634432,0.9568,-1.945953686
-1.601047014,-0.6469557978,-1.943732661
10.84383362,-1.727000011,-1.943571702
14.5962331,0.9568,-1.937065268
8.051151057,0.9568,-1.935725773
13.78966815,-1.742456356,-1.929726884
4.550696637,0.9568,-1.927071579
7.200632923,0.9568,-1.920282862
-1.686455558,0.4784736527,-1.920138176
5.456405042,0.9568,-1.913412948
6.339346105,0.9568,-1.910655989
12.80029331,0.9568,-1.90648042
1.3312378320000001e-14,-1.767938693,-1.906408345
13.39122668,-1.770832686,-1.903720463
15.08,-1.772261376,-1.9023905
12.19591584,0.9568,-1.89954793
5.078999373,-1.77796377,-1.897062159
11.23113528,-1.78794153,-1.887661274
11.49101376,0.9568,-1.886248232
1.340152101,-1.791855237,-1.883946605
5.873254045,-1.793182943,-1.882682908
16.62379592,-0.9314036388,-1.873280922
12.0980577,-1.809420066,-1.867083026
10.68843452,0.9568,-1.860474342
2.069026092,-1.817887741,-1.858839466
2.817629878,-1.821172822,-1.855621069
13.01573686,-1.821905852,-1.854901363
13.96268315,0.9568,-1.839991814
16.65248935,0.9568,-1.836249165
9.802152224,0.9568,-1.822339527
4.349568308,-1.860056391,-1.816642569
11.56419788,-1.861197423,-1.815473534
14.33314785,0.9568,-1.814847556
-0.8499198654,0.9568,-1.814509304
3.535505984,-1.865564382,-1.810985792
0.2031028819,0.9568,-1.807967389
2.28970702,0.9568,-1.800286592
1.062141969,0.9568,-1.798647677
12.68951436,-1.878267994,-1.797806815
2.927718889,0.9568,-1.784220739
8.917950729,0.9568,-1.781659546
3.692336351,0.9568,-1.761692071
10.12796066,-1.914827644,-1.75881639
14.03687216,-1.915605953,-1.757968667
13.48793719,0.9568,-1.755878622
-0.1633406534,0.9568,-1.754309797
8.052079446,0.9568,-1.750226051
6.703221242,-1.92477622,-1.747923483
11.84038303,-1.925855293,-1.746734493
14.13600907,0.9568,-1.746545515
9.543719554,-1.927219285,-1.745229448
4.549191876,0.9568,-1.738018166
12.38419952,-1.935902803,-1.735592215
10.61489487,-1.936954595,-1.734418316
16.99482904,0.2971911278,-1.733524492
7.201058991,0.9568,-1.729822827
15.14177169,0.9568,-1.727928718
5.455662555,0.9568,-1.720510967
13.58853474,-1.952170604,-1.717273983
6.339236622,0.9568,-1.717027584
14.7938059,0.9568,-1.707590615
8.856897079,-1.96240381,-1.705570663
-1.961420889,-0.06379619,-1.705508178
1.570651909,0.9568,-1.704958702
13.77357175,0.9568,-1.704812169
15.57672122,0.9568,-1.69960094
11.00998039,-1.978338434,-1.687061659
0.4940506947,0.9568,-1.681592266
0.7832184524,0.9568,-1.681510543
14.54540993,-1.985066657,-1.67913977
1.277491729,0.9568,-1.67333074
13.19231811,-1.995111709,-1.667192032
13.14563339,0.9568,-1.652302902
11.35584503,-2.009562045,-1.649745553
12.12084728,-2.011439698,-1.647455717
-0.4686323288,0.9568,-1.647040352
-1.027699011,-1.737137022,-1.638959948
14.51238521,0.9568,-1.636292066
12.87737412,-2.027133867,-1.628105735
-1.798148303,0.9568,-1.615919689
-1.603790734,-1.265667861,-1.608085864
8.121087208,-2.046384791,-1.60384204
11.62820866,-2.056500563,-1.590850538
16.54835386,-1.441400724,-1.589434144
14.00664645,0.9568,-1.5833717
12.61871516,-2.063615126,-1.581610765
1.947707359,0.9568,-1.576582448
16.07774803,-1.818775147,-1.567340369
12.28228873,0.9568,-1.566621285
17.13579194,-0.3909330631,-1.543013557
-0.5338279705,-2.029286481,-1.535260263
1.039856616,0.9568,-1.534086142
16.04656109,0.9568,-1.533690293
0.08438279678,0.9568,-1.524526017
11.87589179,-2.11009374,-1.519047204
15.59286356,-2.04811304,-1.517301532
12.37022353,-2.112211501,-1.51610111
-1.206185022,0.9568,-1.511965501
0.3424901407,0.9568,-1.511564256
14.25301963,0.9568,-1.508066219
14.20279519,-2.11928208,-1.506201669
-0.1958395895,0.9568,-1.483141508
13.80443895,-2.135966199,-1.48244676
13.34700949,0.9568,-1.477689923
1.447544263,0.9568,-1.475812959
5.427372087,-2.14383726,-1.471041061
0.793685047,-2.145141618,-1.469138332
12.15726447,-2.145390697,-1.468774577
13.58207873,0.9568,-1.465246607
13.03674282,-2.149316199,-1.463024223
-0.7379609718,0.9568,-1.461493863
-2.106380789,0.4368673781,-1.460242057
