x-coordinate,y-coordinate,z-coordinate,r,theta,phi,actual,predicted,error,error_pct,zero_corrected
6.587425625,0.1913557299,-2.592948705,7.08196133617188,1.66389634365436,111.477403957907,0.001662689145,0.0016003116,-6.23775416028691E-05,3.74935076004653,0
10.42722994,0.1957621726,-2.592619751,10.7464935780527,1.07555207092662,103.960482903793,0.001662685769,0.001664148,1.46217612093059E-06,0.087887757903313,0
0.3686261108,0.1962118393,-2.592585758,2.62600175324189,28.0254233267349,170.849834746369,0.001662696246,0.0016579744,-4.72180539555175E-06,0.283814152186994,0
8.292738413,-0.2258658879,-2.590170767,8.69077156459563,358.439844254414,107.339733919486,0.001662687864,0.0016503992,-1.22886848021521E-05,0.738641248040751,0
3.602826601,-0.2299682566,-2.589809762,4.44301243744234,356.347767697331,125.654420629117,0.001662693336,0.001649428,-1.32652934168324E-05,0.797340058398385,0
5.759301375,0.2475754458,-2.588185928,6.31898348845265,2.4614618096266,114.17901705232,0.001662689843,0.0015976587,-6.50311119566613E-05,3.90884828865673,0
14.70485386,0.2512272585,-2.58783401,14.93294100446,0.978783026491726,99.9795697620288,0.001662691706,0.0017636588,0.00010096712489602,6.0688602661111,0
12.87370299,-0.2609849132,-2.58686816,13.1336296840163,358.838618069903,101.359548750122,0.001662687631,0.0016259913,-3.6696321007031E-05,2.20572181479607,0
0.5059132829,-0.2877707551,-2.58402554,2.64876353204241,330.368158132382,167.30641831324,0.001662696828,0.0016603456,-2.35124012058058E-06,0.141326236908626,0
13.45340796,-0.2903557741,-2.58373635,13.7023423450174,358.763616017443,100.868855921026,0.001662687631,0.0016259913,-3.6696321007031E-05,2.20572181479607,0
13.9993859,-0.290708336,-2.583696705,14.2387782333024,358.810378734793,100.454517645934,0.001662689145,0.0016259913,-3.6697835007031E-05,2.20581081010966,0
1.101875897,-0.301829777,-2.582421109,2.82385029540913,344.681103292327,156.13532212622,0.001662694965,0.0016670264,4.33146536842348E-06,0.260352135430276,0
9.159892315,-0.3068616364,-2.581828022,9.52174496725651,358.081276158123,105.732752981827,0.001662687166,0.001650167,-1.2520118953875E-05,0.75255247559414,0
4.936641906,0.3122624714,-2.581180379,5.57946532456782,3.61936670402253,117.556395140454,0.001662691706,0.001561549,-0.00010114267948094,6.07941237647427,0
9.526372903,0.3185847961,-2.580407667,9.87480534933378,1.91539467204484,105.147941043816,0.001662686351,0.001664148,1.46159412093075E-06,0.087852744602504,0
