X,Y,Z
-18.5442352,12.271101,-5.47108698
-18.5442352,12.271101,-5.40717506
-18.6035748,12.2643738,-5.40717506
-18.4102535,12.5883722,-6.87687111
-18.4102535,12.5883722,-6.81298685
-18.350235,12.5761013,-6.81298685
-18.9871311,12.2416391,-4.76819468
-18.9871311,12.2416391,-4.83207893
-18.9232349,12.2416391,-4.83207893
-18.028635,12.5822058,-7.51587915
-18.028635,12.5822058,-7.45196772
-17.9747353,12.5761013,-7.45196772
-18.4114723,12.2614403,-5.40717506
-18.4114761,12.2614479,-5.47108698
-18.3469486,12.258605,-5.47108698
-19.5622196,12.2416391,-5.79056358
-19.5622196,12.2416391,-5.85444784
-19.4983234,12.2416391,-5.85444784
-17.8407364,12.5761013,-7.51587915
-17.8407364,12.5761013,-7.45196772
-17.773735,12.5761013,-7.45196772
-20.1373196,12.2416391,-10.0718555
-20.1725159,12.2416391,-10.0718555
-20.1725159,12.2416391,-10.1357403
-18.9894543,12.5881329,-7.89924002
-18.9894543,12.5881329,-7.83535576
-18.9232349,12.6049995,-7.83535576
-18.6037312,12.6049995,-6.23786354
-18.6037312,12.6049995,-6.1739521
-18.539835,12.6049995,-6.1739521
-19.9456196,12.2416391,-10.1357403
-19.9456196,12.2416391,-10.0718555
-20.0095158,12.2416391,-10.0718555
-18.2162361,12.5761013,-6.87687111
-18.2162361,12.5761013,-6.81298685
-18.1492348,12.5761013,-6.81298685
-18.7954197,12.2416391,-4.76819468
-18.7954197,12.2416391,-4.83207893
-18.7315235,12.2416391,-4.83207893
-19.7542362,12.271101,-5.15158319
-19.7542362,12.271101,-5.21549463
-19.6921558,12.2585497,-5.21549463
-20.1725159,12.2416391,-7.70755959
-20.1725159,12.2416391,-7.64364767
-20.1725159,12.3274698,-7.64364767
-19.1807346,12.5761013,-7.26028681
-19.1807346,12.5761013,-7.19637537
-19.1137352,12.5761013,-7.19637537
-18.6037312,12.2416391,-4.83207893
-18.539835,12.2416391,-4.83207893
-18.539835,12.2416391,-4.76819468
-18.028635,12.5822058,-6.87687111
-18.028635,12.5822058,-6.81298685
-17.9747353,12.5761013,-6.81298685
-18.7954197,12.6049995,-5.5988555
-18.7954197,12.6049995,-5.53497124
-18.7315235,12.6049995,-5.53497124
-19.881712,12.2416391,-4.49365044
-19.9456196,12.2416391,-4.49365044
-19.9456196,12.2416391,-4.57648659
-18.4102535,12.5883722,-6.23786354
-18.4102535,12.5883722,-6.1739521
-18.350235,12.5761013,-6.1739521
-20.1725159,12.2416391,-9.43284798
-20.1725159,12.2416391,-9.49675941
-20.1373196,12.2539244,-9.49675941
-19.3817348,12.5761013,-6.62127876
-19.3817348,12.5761013,-6.55736732
-19.3064842,12.5821724,-6.55736732
-18.9894543,12.5881329,-4.95990229
-18.9875526,12.597271,-4.89599085
-18.9232349,12.6049995,-4.89599085
-19.5562363,12.5761013,-5.98227119
-19.5562363,12.5761013,-5.91835976
-19.4892349,12.5761013,-5.91835976
-18.2162361,12.5761013,-6.23786354
-18.2162361,12.5761013,-6.1739521
-18.1492348,12.5761013,-6.1739521
-18.0286198,12.2416391,-10.2635365
-18.0286198,12.2416391,-10.346241
-17.9647236,12.2416391,-10.346241
-18.6037312,12.6049995,-5.5988555
-18.6037312,12.6049995,-5.53497124
-18.539835,12.6049995,-5.53497124
-19.7532349,12.5761013,-5.34326315
-19.7532349,12.5761013,-5.27937889
-19.6905537,12.5848904,-5.27937889
-18.156435,12.2416391,-9.68843937
-18.156435,12.2416391,-9.62455559
-18.2203312,12.2416391,-9.62455559
-18.3469486,12.258604,-9.04948616
-18.3469486,12.258604,-8.98557568
-18.411478,12.2614508,-8.98557568
-20.1373196,12.6049995,-10.1996241
-20.1373196,12.6049995,-10.2635365
-20.1725159,12.6049995,-10.2635365
-18.4102535,12.5883722,-5.5988555
-18.4102535,12.5883722,-5.53497124
-18.350235,12.5761013,-5.53497124
-17.389719,12.2520218,-5.34326315
-17.389719,12.2520218,-5.40717506
-17.354372,12.2416391,-5.40717506
-19.9456196,12.6049995,-4.70430994
-19.9456196,12.6049995,-4.6403985
-19.881712,12.6049995,-4.6403985
-18.7954197,12.6049995,-4.95990229
-18.7954197,12.6049995,-4.89599085
-18.7315235,12.6049995,-4.89599085
-20.0095158,12.6049995,-10.2635365
-20.0095158,12.6049995,-10.1996241
-19.9456196,12.6049995,-10.1996241
-18.5442352,12.271101,-8.41042423
-18.5442352,12.271101,-8.3465395
-18.6035748,12.2643738,-8.3465395
-17.8369198,12.2416391,-10.346241
-17.7730122,12.2416391,-10.346241
-17.7730122,12.2416391,-10.2635365
-18.9232349,12.2416391,-10.0718555
-18.9232349,12.2416391,-10.0079441
-18.9871311,12.2416391,-10.0079441
-20.1725159,12.2416391,-7.26028681
-20.1725159,12.3274698,-7.26028681
-20.1725159,12.3274698,-7.32417107
-18.6037312,12.6049995,-4.95990229
-18.6037312,12.6049995,-4.89599085
-18.539835,12.6049995,-4.89599085
-17.5813236,12.2416391,-4.70430994
-17.5813236,12.2416391,-4.76819468
-17.5174274,12.2416391,-4.76819468
-17.9647236,12.2416391,-9.68843937
-17.9647236,12.2416391,-9.62455559
-18.0286198,12.2416391,-9.62455559
-18.156435,12.2416391,-9.04948616
-18.156435,12.2416391,-8.98557568
-18.2203312,12.2416391,-8.98557568
-17.5813236,12.2416391,-10.346241
-17.5813236,12.2416391,-10.2635365
-17.6452198,12.2416391,-10.2635365
-19.1788197,12.2416391,-9.36896324
-19.1788197,12.2416391,-9.43284798
-19.112957,12.2583036,-9.43284798
-18.2162361,12.5761013,-9.8162632
-18.2162361,12.5761013,-9.75235176
-18.1492348,12.5761013,-9.75235176
-18.7315483,12.2647648,-7.77147102
-18.7315483,12.2647648,-7.70755959
-18.7857361,12.271101,-7.70755959
-18.3469486,12.258604,-8.41042423
-18.3469486,12.258604,-8.3465395
-18.411478,12.2614508,-8.3465395
-17.8369198,12.2416391,-9.62455559
-17.8369198,12.2416391,-9.68843937
-17.7422104,12.2502956,-9.68843937
-19.3705196,12.2416391,-8.72998333
-19.3705196,12.2416391,-8.79389477
-19.306612,12.2416391,-8.79389477
-18.0286198,12.2416391,-8.98557568
-18.0286198,12.2416391,-9.04948616
-17.9647236,12.2416391,-9.04948616
-18.919735,12.271101,-7.13246346
-18.919735,12.271101,-7.0685792
-18.9876461,12.2619915,-7.0685792
-18.5442352,12.271101,-7.77147102
-18.5442352,12.271101,-7.70755959
-18.6035748,12.2643738,-7.70755959
-18.4102535,12.5883722,-9.17725563
-18.4102535,12.5883722,-9.1133709
-18.350235,12.5761013,-9.1133709
-18.2203312,12.2416391,-8.3465395
-18.2203312,12.2416391,-8.41042423
-18.156435,12.2416391,-8.41042423
-18.028635,12.5822058,-9.8162632
-18.028635,12.5822058,-9.75235176
-17.9747353,12.5761013,-9.75235176
-19.5622196,12.2416391,-8.09094715
-19.5622196,12.2416391,-8.15483189
-19.4983234,12.2416391,-8.15483189
-18.411478,12.2614498,-7.70755959
-18.411478,12.2614508,-7.77147102
-18.3469486,12.258604,-7.77147102
-19.112957,12.2583036,-6.49345541
-19.112957,12.2583036,-6.42954397
-19.1788197,12.2416391,-6.42954397
-18.9871311,12.6049995,-10.1996241
-18.9871311,12.6049995,-10.1357403
-18.9232349,12.6049995,-10.1357403
-17.8407364,12.5761013,-9.8162632
-17.8407364,12.5761013,-9.75235176
-17.773735,12.5761013,-9.75235176
-18.6037312,12.6049995,-8.53824806
-18.6037312,12.6049995,-8.47433662
-18.539835,12.6049995,-8.47433662
-18.2162361,12.5761013,-9.17725563
-18.2162361,12.5761013,-9.1133709
-18.1492348,12.5761013,-9.1133709
-17.5813236,12.6049995,-4.83207893
-17.5174274,12.6049995,-4.83207893
-17.5174274,12.6049995,-4.89599085
-18.7315483,12.2647648,-7.13246346
-18.7315483,12.2647648,-7.0685792
-18.7857361,12.271101,-7.0685792
-20.1725159,12.2416391,-9.94403172
-20.1725159,12.3274698,-9.94403172
-20.1725159,12.3274698,-10.0079441
-20.1725159,12.3913698,-5.27937889
-20.1725159,12.4552689,-5.27937889
-20.1725159,12.4552689,-5.34326315
-18.6035748,12.2643738,-7.0685792
-18.6035748,12.2643738,-7.13246346
-18.5442352,12.271101,-7.13246346
-19.7542362,12.271101,-7.45196772
-19.7542362,12.271101,-7.51587915
-19.6921558,12.2585497,-7.51587915
-18.028635,12.5822058,-9.17725563
-18.028635,12.5822058,-9.1133709
-17.9747353,12.5761013,-9.1133709
-19.306612,12.2416391,-5.85444784
-19.306612,12.2416391,-5.79056358
-19.3705196,12.2416391,-5.79056358
-18.7954197,12.6049995,-7.89924002
-18.7954197,12.6049995,-7.83535576
-18.7315235,12.6049995,-7.83535576
-19.1807346,12.5761013,-9.56067085
-19.1807346,12.5761013,-9.49675941
-19.1137352,12.5761013,-9.49675941
-18.919735,12.271101,-6.49345541
-18.919735,12.271101,-6.42954397
-18.9876461,12.2619915,-6.42954397
-18.4102535,12.5883722,-8.53824806
-18.4102535,12.5883722,-8.47433662
-18.350235,12.5761013,-8.47433662
-19.9454098,12.2640858,-6.81298685
-19.9454098,12.2640858,-6.87687111
-19.8842354,12.271101,-6.87687111
-17.354372,12.3274698,-5.21549463
-17.354372,12.3913698,-5.21549463
-17.354372,12.3913698,-5.15158319
-18.2162361,12.5761013,-8.53824806
-18.2162361,12.5761013,-8.47433662
-18.1492348,12.5761013,-8.47433662
-19.4983234,12.2416391,-5.21549463
-19.4983234,12.2416391,-5.15158319
-19.5622196,12.2416391,-5.15158319
-19.3817348,12.5761013,-8.92166328
-19.3817348,12.5761013,-8.85777855
-19.3064842,12.5821724,-8.85777855
-18.7857361,12.271101,-6.42954397
-18.7857361,12.271101,-6.49345541
-18.7315483,12.2647648,-6.49345541
-18.7315235,12.2416391,-10.346241
-18.7954197,12.2416391,-10.346241
-18.7954197,12.3274698,-10.346241
-18.9894543,12.5881338,-7.26028681
-18.9894543,12.5881338,-7.19637537
-18.9232349,12.6049995,-7.19637537
-19.112957,12.2583036,-5.85444784
-19.112957,12.2583036,-5.79056358
-19.1788197,12.2416391,-5.79056358
-18.6037312,12.6049995,-7.89924002
