Node,X[m],Y[m],Z[m],predicted_CR
126,-17.9836502,12.7747688,-9.96281528,0.009033872
127,-17.9848862,12.8621016,-9.96395206,0.009033872
128,-18.0262604,12.8609858,-9.93344688,0.009033872
129,-19.1788197,12.2416391,-7.0685792,0.009033872
130,-19.1788197,12.2416391,-7.13246346,0.009033872
131,-19.112957,12.2583036,-7.13246346,0.009033872
132,-19.112957,12.2583036,-7.0685792,0.009033872
133,-18.6037312,12.6049995,-9.17725563,0.009033872
134,-18.6037312,12.6049995,-9.1133709,0.009033872
135,-18.539835,12.6049995,-9.1133709,0.009033872
136,-18.539835,12.6049995,-9.17725563,0.009033872
137,-17.4535313,12.6049995,-8.79389477,0.009033872
138,-17.4535313,12.6049995,-8.72998333,0.009033872
139,-17.3896351,12.6049995,-8.72998333,0.009033872
140,-17.3896351,12.6049995,-8.79389477,0.009033872
141,-18.0286198,12.2416391,-6.68519068,0.009033872
142,-18.0286198,12.2416391,-6.74910259,0.009033872
143,-17.9647236,12.2416391,-6.74910259,0.009033872
144,-17.9647236,12.2416391,-6.68519068,0.009033872
145,-18.2162361,12.5761013,-7.51587915,0.009033872
146,-18.2162361,12.5761013,-7.45196772,0.009033872
147,-18.1492348,12.5761013,-7.45196772,0.009033872
148,-18.1492348,12.5761013,-7.51587915,0.009033872
149,-18.3469486,12.258605,-6.11004019,0.009033626
150,-18.3469486,12.258605,-6.04615545,0.009033462
151,-18.411478,12.2614508,-6.04615545,0.009033462
152,-18.411478,12.2614508,-6.11004019,0.009033626
153,-17.8407364,12.5761013,-8.15483189,0.009033872
154,-17.8407364,12.5761013,-8.09094715,0.009033872
155,-17.773735,12.5761013,-8.09094715,0.009033872
156,-17.773735,12.5761013,-8.15483189,0.009033872
157,-18.7315483,12.2647734,-5.47108698,0.009033078
158,-18.7315483,12.2647734,-5.40717506,0.009033078
159,-18.7857361,12.271101,-5.40717506,0.009033078
160,-18.7857361,12.271101,-5.47108698,0.009033078
161,-19.3705196,12.2416391,-6.42954397,0.00903387
162,-19.3705196,12.2416391,-6.49345541,0.009033891
163,-19.306612,12.2416391,-6.49345541,0.009033891
164,-19.306612,12.2416391,-6.42954397,0.009033911
165,-18.2203312,12.2416391,-6.04615545,0.009033462
166,-18.2203312,12.2416391,-6.11004019,0.009033626
167,-18.156435,12.2416391,-6.11004019,0.009033626
168,-18.156435,12.2416391,-6.04615545,0.009033462
169,-17.6438637,12.5888662,-8.15483189,0.009033872
170,-17.6438637,12.5888662,-8.09094715,0.009033872
171,-17.6121159,12.5962973,-8.09094715,0.009033872
172,-17.6121159,12.5962973,-8.15483189,0.009033872
173,-18.7954197,12.6049995,-8.53824806,0.009033872
174,-18.7954197,12.6049995,-8.47433662,0.009033872
175,-18.7315235,12.6049995,-8.47433662,0.009033872
176,-18.7315235,12.6049995,-8.53824806,0.009033872
177,-20.1725159,12.2416391,-8.3465395,0.009033872
178,-20.1725159,12.2416391,-8.28265572,0.009033872
179,-20.1725159,12.3274698,-8.28265572,0.009033872
180,-20.1725159,12.3274698,-8.3465395,0.009033872
181,-18.5442352,12.271101,-5.47108698,0.009033078
182,-18.5442352,12.271101,-5.40717506,0.009033078
183,-18.6035748,12.2643738,-5.40717506,0.009033078
184,-18.6035748,12.2643738,-5.47108698,0.009033078
185,-18.4102535,12.5883722,-6.87687111,0.009033872
186,-18.4102535,12.5883722,-6.81298685,0.009033872
187,-18.350235,12.5761013,-6.81298685,0.009033872
188,-18.350235,12.5761013,-6.87687111,0.009033872
189,-18.9871311,12.2416391,-4.76819468,0.009033078
190,-18.9871311,12.2416391,-4.83207893,0.009033078
191,-18.9232349,12.2416391,-4.83207893,0.009033078
192,-18.9232349,12.2416391,-4.76819468,0.009033078
193,-18.028635,12.5822058,-7.51587915,0.009033872
194,-18.028635,12.5822058,-7.45196772,0.009033872
195,-17.9747353,12.5761013,-7.45196772,0.009033872
196,-17.9747353,12.5761013,-7.51587915,0.009033872
197,-18.4114723,12.2614403,-5.40717506,0.009033078
198,-18.4114761,12.2614479,-5.47108698,0.009033078
199,-18.3469486,12.258605,-5.47108698,0.009033078
200,-18.3469524,12.2586117,-5.40717506,0.009033078
201,-19.5622196,12.2416391,-5.79056358,0.009033078
202,-19.5622196,12.2416391,-5.85444784,0.009033112
203,-19.4983234,12.2416391,-5.85444784,0.009033112
204,-19.4983234,12.2416391,-5.79056358,0.009033078
205,-17.8407364,12.5761013,-7.51587915,0.009033872
206,-17.8407364,12.5761013,-7.45196772,0.009033872
207,-17.773735,12.5761013,-7.45196772,0.009033872
208,-17.773735,12.5761013,-7.51587915,0.009033872
209,-20.1373196,12.2416391,-10.0718555,0.009033872
