X,Y,Z
-1.4291712,-1.58215439,0.582716227
-1.41288936,-1.60922468,0.586184263
-0.141812429,-1.56104672,0.586644173
-0.155662879,-1.5001837,0.733716786
-0.175242841,-1.48811173,0.671257973
-1.68340611,-1.58092737,0.582716227
-1.66712952,-1.60800993,0.586187482
-1.19100296,-1.61181116,0.782024682
-1.65162694,-1.58108079,0.582716227
-1.63534641,-1.60815668,0.586185753
-0.147259191,-1.48744988,0.68127352
-0.116265029,-1.48979104,0.663111448
-0.0783871561,-1.49153757,0.711843431
-0.0316292755,-1.50302565,0.73754853
-0.108896747,-1.49137819,0.711800218
-0.171704829,-1.48979104,0.706734121
-1.61984777,-1.5812341,0.582716227
-1.60356522,-1.60830653,0.5861848
-1.58806849,-1.58138752,0.582716227
-0.126158118,-1.58844268,0.582716227
-0.126340553,-1.54034543,0.595179558
-1.89003074,-1.60857177,0.781986356
-1.85831869,-1.60806119,0.782173991
-1.87408054,-1.58133662,0.785911918
-0.809562743,-1.61467147,0.781728446
-0.793536305,-1.58655143,0.785911918
-0.761787474,-1.58537519,0.582716227
-0.777296722,-1.61229944,0.58618623
-0.139347628,-1.49099505,0.710945427
-0.202487722,-1.5115577,0.750387728
0.0117561677,-1.49319935,0.715878487
-0.106736444,-1.51390541,0.616099358
-0.110138454,-1.56186604,0.586455703
-0.0977534875,-1.53535759,0.598181427
-1.39739156,-1.5823077,0.582716227
-1.38111031,-1.60937846,0.586184323
-0.0943760499,-1.58859611,0.582716227
-0.0783683211,-1.56143999,0.586619258
-0.0938845128,-1.49993777,0.635902047
-1.36561191,-1.58246112,0.582716227
-1.34933126,-1.60953224,0.586184442
-0.0619172566,-1.53674281,0.597434819
-0.0465358905,-1.56233954,0.58640933
-0.0780649558,-1.51585639,0.614150584
-1.33383226,-1.58261442,0.582716227
-1.31755221,-1.60968602,0.586184561
-0.698194146,-1.58701146,0.785911918
-0.729974866,-1.58685815,0.785911918
-0.717825353,-1.61001933,0.783095062
-0.046315942,-1.515306,0.614894927
-0.030043425,-1.53659272,0.597619772
-1.3020525,-1.58276784,0.582716227
-1.28577304,-1.60983968,0.58618468
-0.6853773,-1.61219203,0.782588124
-0.666413426,-1.58716488,0.785911918
-0.0488129333,-1.49292433,0.715931177
-0.0788516924,-1.49028659,0.661685407
-0.0621363372,-1.49980736,0.63642925
-0.198017582,-1.49522161,0.723977923
-0.0304857083,-1.49950695,0.637286961
