X[m],Y[m],Z[m], Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Corrosion_Rate
-18.6035748,12.2643738,-5.47108698,0.00000000297,0.011918181
-18.4102535,12.5883722,-6.87687111,0.00000000338,0.01355978733
-18.4102535,12.5883722,-6.81298685,0.00000000336,0.0134940972
-18.350235,12.5761013,-6.81298685,0.00000000336,0.01349607034
-18.350235,12.5761013,-6.87687111,0.00000000337,0.01355406677
-18.9871311,12.2416391,-4.76819468,0.00000000251,0.01010102159
-18.9871311,12.2416391,-4.83207893,0.00000000262,0.010508011
-18.9232349,12.2416391,-4.83207893,0.00000000263,0.01057951351
-18.9232349,12.2416391,-4.76819468,0.00000000254,0.01020196256
-18.028635,12.5822058,-7.51587915,0.00000000346,0.01389727407
-18.028635,12.5822058,-7.45196772,0.00000000345,0.01385815545
-17.9747353,12.5761013,-7.45196772,0.00000000347,0.01393370861
-17.9747353,12.5761013,-7.51587915,0.00000000347,0.01395875029
-18.4114723,12.2614403,-5.40717506,0.00000000258,0.01034617005
-18.4114761,12.2614479,-5.47108698,0.00000000261,0.01048620911
-18.3469486,12.258605,-5.47108698,0.00000000266,0.01067554924
-18.3469524,12.2586117,-5.40717506,0.00000000263,0.01055629067
-19.5622196,12.2416391,-5.79056358,0.00000000307,0.01233296931
-19.5622196,12.2416391,-5.85444784,0.00000000309,0.0124102191
-19.4983234,12.2416391,-5.85444784,0.00000000309,0.01241243845
-19.4983234,12.2416391,-5.79056358,0.00000000307,0.01233921256
-17.8407364,12.5761013,-7.51587915,0.00000000349,0.01402244053
-17.8407364,12.5761013,-7.45196772,0.00000000348,0.01399889031
-17.773735,12.5761013,-7.45196772,0.00000000349,0.01402257253
-17.773735,12.5761013,-7.51587915,0.0000000035,0.01404470444
-20.1373196,12.2416391,-10.0718555,0.00000000358,0.01436943441
-20.1725159,12.2416391,-10.0718555,0.00000000358,0.01437286515
-20.1725159,12.2416391,-10.1357403,0.00000000358,0.0143761433
-20.1373196,12.2416391,-10.1357403,0.00000000358,0.01437332452
-18.9894543,12.5881329,-7.89924002,0.00000000355,0.01425228994
-18.9894543,12.5881329,-7.83535576,0.00000000355,0.0142417418
-18.9232349,12.6049995,-7.83535576,0.00000000355,0.01425370287
-18.9232349,12.6049995,-7.89924002,0.00000000355,0.0142635829
-18.6037312,12.6049995,-6.23786354,0.00000000322,0.01291634667
-18.6037312,12.6049995,-6.1739521,0.00000000319,0.01280263736
-18.539835,12.6049995,-6.1739521,0.00000000315,0.01264526722
-18.539835,12.6049995,-6.23786354,0.00000000318,0.01276923122
-19.9456196,12.2416391,-10.1357403,0.00000000358,0.01437394982
-19.9456196,12.2416391,-10.0718555,0.00000000358,0.01437080278
-20.0095158,12.2416391,-10.0718555,0.00000000358,0.01436895989
-20.0095158,12.2416391,-10.1357403,0.00000000358,0.01437244321
-18.2162361,12.5761013,-6.87687111,0.0000000031,0.0124494974
-18.2162361,12.5761013,-6.81298685,0.00000000293,0.01177919804
-18.1492348,12.5761013,-6.81298685,0.00000000245,0.00982758185
-18.1492348,12.5761013,-6.87687111,0.00000000261,0.01050154563
-18.7954197,12.2416391,-4.76819468,0.00000000258,0.01038097043
-18.7954197,12.2416391,-4.83207893,0.00000000267,0.01071303997
-18.7315235,12.2416391,-4.83207893,0.00000000269,0.01081203451
-18.7315235,12.2416391,-4.76819468,0.00000000262,0.01051195908
-19.7542362,12.271101,-5.15158319,0.00000000272,0.01090752525
-19.7542362,12.271101,-5.21549463,0.00000000273,0.01097276845
-19.6921558,12.2585497,-5.21549463,0.00000000272,0.0109251248
-19.6921558,12.2585497,-5.15158319,0.00000000269,0.01080914081
-20.1725159,12.2416391,-7.70755959,0.00000000353,0.01419507668
-20.1725159,12.2416391,-7.64364767,0.00000000353,0.01417929327
