X[m],Y[m],Z[m], Total Surface Corrosion Rate [ kg s^-1 m^-2 ],Corrosion_Rate
-18.7315235,12.6049995,-4.95990229,0.00000000347,0.013927096
-20.0095158,12.6049995,-10.2635365,0.00000000347,0.013927128
-20.0095158,12.6049995,-10.1996241,0.00000000347,0.013927128
-19.9456196,12.6049995,-10.1996241,0.00000000347,0.013927128
-19.9456196,12.6049995,-10.2635365,0.00000000347,0.013927128
-18.5442352,12.271101,-8.41042423,0.00000000347,0.013927105
-18.5442352,12.271101,-8.3465395,0.00000000347,0.013927104
-18.6035748,12.2643738,-8.3465395,0.00000000347,0.013927102
-18.6035748,12.2643738,-8.41042423,0.00000000347,0.013927104
-17.8369198,12.2416391,-10.346241,0.00000000347,0.013927135
-17.7730122,12.2416391,-10.346241,0.00000000347,0.013927135
-17.7730122,12.2416391,-10.2635365,0.00000000347,0.013927134
-17.8369198,12.2416391,-10.2635365,0.00000000347,0.013927136
-18.9232349,12.2416391,-10.0718555,0.00000000347,0.013927129
-18.9232349,12.2416391,-10.0079441,0.00000000347,0.013927128
-18.9871311,12.2416391,-10.0079441,0.00000000347,0.013927129
-18.9871311,12.2416391,-10.0718555,0.00000000347,0.01392713
-20.1725159,12.2416391,-7.26028681,0.00000000347,0.01392692
-20.1725159,12.3274698,-7.26028681,0.00000000347,0.013926976
-20.1725159,12.3274698,-7.32417107,0.00000000347,0.013926973
-20.1725159,12.2416391,-7.32417107,0.00000000347,0.013926921
-18.6037312,12.6049995,-4.95990229,0.00000000347,0.013927096
-18.6037312,12.6049995,-4.89599085,0.00000000347,0.013927096
-18.539835,12.6049995,-4.89599085,0.00000000347,0.013927095
-18.539835,12.6049995,-4.95990229,0.00000000347,0.013927096
-17.5813236,12.2416391,-4.70430994,0.00000000347,0.013927077
-17.5813236,12.2416391,-4.76819468,0.00000000347,0.013927071
-17.5174274,12.2416391,-4.76819468,0.00000000347,0.013927062
-17.5174274,12.2416391,-4.70430994,0.00000000347,0.013927072
-17.9647236,12.2416391,-9.68843937,0.00000000347,0.01392713
-17.9647236,12.2416391,-9.62455559,0.00000000347,0.013927128
-18.0286198,12.2416391,-9.62455559,0.00000000347,0.013927128
-18.0286198,12.2416391,-9.68843937,0.00000000347,0.01392713
-18.156435,12.2416391,-9.04948616,0.00000000347,0.013927121
-18.156435,12.2416391,-8.98557568,0.00000000347,0.013927119
-18.2203312,12.2416391,-8.98557568,0.00000000347,0.013927119
-18.2203312,12.2416391,-9.04948616,0.00000000347,0.013927119
-17.5813236,12.2416391,-10.346241,0.00000000347,0.013927132
-17.5813236,12.2416391,-10.2635365,0.00000000347,0.013927132
-17.6452198,12.2416391,-10.2635365,0.00000000347,0.013927134
-17.6452198,12.2416391,-10.346241,0.00000000347,0.013927134
-19.1788197,12.2416391,-9.36896324,0.00000000347,0.013927126
-19.1788197,12.2416391,-9.43284798,0.00000000347,0.013927126
-19.112957,12.2583036,-9.43284798,0.00000000347,0.013927126
-19.112957,12.2583036,-9.36896324,0.00000000347,0.013927126
-18.2162361,12.5761013,-9.8162632,0.00000000347,0.013927121
-18.2162361,12.5761013,-9.75235176,0.00000000347,0.013927121
-18.1492348,12.5761013,-9.75235176,0.00000000347,0.013927117
-18.1492348,12.5761013,-9.8162632,0.00000000347,0.013927118
-18.7315483,12.2647648,-7.77147102,0.00000000347,0.01392709
-18.7315483,12.2647648,-7.70755959,0.00000000347,0.013927087
-18.7857361,12.271101,-7.70755959,0.00000000347,0.013927084
-18.7857361,12.271101,-7.77147102,0.00000000347,0.013927086
-18.3469486,12.258604,-8.41042423,0.00000000347,0.013927109
-18.3469486,12.258604,-8.3465395,0.00000000347,0.013927108
-18.411478,12.2614508,-8.3465395,0.00000000347,0.013927107
-18.411478,12.2614508,-8.41042423,0.00000000347,0.013927108
-17.8369198,12.2416391,-9.62455559,0.00000000347,0.013927128
-17.8369198,12.2416391,-9.68843937,0.00000000347,0.013927129
-17.7422104,12.2502956,-9.68843937,0.00000000347,0.013927129
-17.7422104,12.2502956,-9.62455559,0.00000000347,0.013927128
-19.3705196,12.2416391,-8.72998333,0.00000000347,0.013927116
-19.3705196,12.2416391,-8.79389477,0.00000000347,0.013927118
-19.306612,12.2416391,-8.79389477,0.00000000347,0.013927118
-19.306612,12.2416391,-8.72998333,0.00000000347,0.013927116
-18.0286198,12.2416391,-8.98557568,0.00000000347,0.013927118
-18.0286198,12.2416391,-9.04948616,0.00000000347,0.013927119
-17.9647236,12.2416391,-9.04948616,0.00000000347,0.013927118
-17.9647236,12.2416391,-8.98557568,0.00000000347,0.013927117
-18.919735,12.271101,-7.13246346,0.00000000347,0.01392708
-18.919735,12.271101,-7.0685792,0.00000000347,0.013927082
-18.9876461,12.2619915,-7.0685792,0.00000000347,0.013927082
-18.9876461,12.2619915,-7.13246346,0.00000000347,0.01392708
-18.5442352,12.271101,-7.77147102,0.00000000347,0.013927101
-18.5442352,12.271101,-7.70755959,0.00000000347,0.013927101
-18.6035748,12.2643738,-7.70755959,0.00000000347,0.0139271
-18.6035748,12.2643738,-7.77147102,0.00000000347,0.0139271
-18.4102535,12.5883722,-9.17725563,0.00000000347,0.013927119
-18.4102535,12.5883722,-9.1133709,0.00000000347,0.013927118
-18.350235,12.5761013,-9.1133709,0.00000000347,0.013927116
